Country Name,Indicator Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Australia,Exports of goods and services (% of GDP),22.1681831556551,20.7379562294817,19.0670417369508,17.1717885180982,18.2345398442686,19.8670743134475,20.1972095519184,20.1570110070534,23.0136347671101,19.7992817578298,21.4374194076014,21.4993440769616,19.9857077588126,21.0963738828485,20.0680710032927,19.272258011581,21.231183492644,21.8734041196439,24.1515391092117,24.0082830210698
Austria,Exports of goods and services (% of GDP),44.6175555179483,45.31938619858,44.57041471914,46.8672149740213,48.6197522046932,50.8416688618235,52.560869422371,53.2488606164087,45.2074165608437,51.2621603273359,53.9486708516394,53.9736761965302,53.4412932967224,53.3865790462424,53.0890605587958,52.4063936498056,54.0511531414978,55.4622191178234,55.7572063557543,51.6128149281413
Belgium,Exports of goods and services (% of GDP),71.6119589202939,70.8312976956765,69.0365085088844,70.906277447218,74.2828289213953,76.8049970552189,78.3018047028263,80.8806199752035,68.8340037082276,75.8500644792464,80.6973629124622,80.4044905064987,79.3243484015476,79.801009073623,77.8052821516798,79.4296154739536,83.1824102499921,83.0796294670067,82.3971992752511,79.4465488572451
Canada,Exports of goods and services (% of GDP),42.0399550909321,40.0586585930818,36.8659851985508,37.3277713060483,36.8567073235071,35.4024592168513,34.229555163977,34.3950055520687,28.5158343165743,29.1673819330319,30.6783919173107,30.3530255225878,30.3319386683867,31.7365758733408,31.8499609634443,31.5025724093362,31.4544101509781,32.3254037264858,32.3526958202565,29.6808453346886
France,Exports of goods and services (% of GDP),28.2658952021844,27.5310502579308,26.1119689746398,26.4688363216607,27.0330510418171,27.9350550901956,27.853257510199,28.1193848563025,24.8355472102672,26.7882998402738,28.4213374764194,29.2030271868495,29.3647378670492,29.666684498073,30.5926223781313,30.2475371833945,30.9486331871,31.7136672102555,31.5920554143668,27.4502276377653
Germany,Exports of goods and services (% of GDP),31.8447071170151,32.5925791130602,32.8117129460067,35.713363859767,38.0595723481521,41.4329079108458,43.3227580964574,43.7991902579629,38.1199069398503,42.565473405085,45.0571362806101,46.3071201430804,45.4186778593914,45.6192633128717,46.920738356608,46.0732628543356,47.1630406836519,47.3088591421652,46.6696129860707,43.0131290321633
"Hong Kong, China",Exports of goods and services (% of GDP),122.769694703522,132.076763164041,150.775979991549,167.775897168379,177.45291670355,185.185163012497,186.412407406061,193.415176806617,178.135055401704,205.322597352297,212.852416474103,215.849565476503,221.610060304774,213.090413516784,195.89760161449,187.005128888725,188.902399636639,188.339507002291,177.651315174364,176.304482446886
Ireland,Exports of goods and services (% of GDP),95.2243824665404,90.449477107344,80.8405915956942,80.4755800800168,79.5276963895122,79.0346762561037,80.8367951764565,84.333282431752,93.5561688922869,103.242934938459,103.256202512089,104.416732931729,104.008518157505,110.121635697035,122.096239962113,121.695568587883,121.01688342861,122.784715063326,127.879646181738,133.337202322551
Israel,Exports of goods and services (% of GDP),30.4002976473437,31.8518325779877,33.4897588522128,37.8637675568332,39.5114843542632,39.6333076683141,39.3715408031531,37.768993384928,32.5419682179758,34.1585761715727,34.7593258289757,35.3135368991532,33.2367754445811,31.8734891196806,31.1712490255778,29.9549598852839,29.2422558707299,29.8939141012579,29.2984786508394,27.6756854779656
Japan,Exports of goods and services (% of GDP),10.0767999632844,10.8554456072287,11.4658015766594,12.7862646247862,13.8158957221159,15.6573740466117,17.2891273707229,17.2355433764071,12.41956574798,14.9185034496428,14.7744622613499,14.4147746129824,15.7841567318773,17.4186553484795,17.4367598376529,16.0579692360598,17.5914391047836,18.3149455985223,17.4635264275221,15.5494225001595
"Korea, Rep.",Exports of goods and services (% of GDP),31.7877410482541,29.7727544096379,31.3978372633201,36.7543364487134,35.2830827957409,35.6264186161218,37.3921796905127,47.6418852095772,45.1853519113199,47.1037369107414,53.3377319003336,54.0940513351953,51.2920711097027,47.8314208662979,42.989561527711,40.1326509111205,40.9342069409884,41.7132908430894,39.2758610673609,36.359590549146
Netherlands,Exports of goods and services (% of GDP),63.2984076981661,60.148422487264,59.2841403248767,62.6742441704485,65.632085215917,68.1811183379922,68.7754574672546,69.7936334784718,62.2370135170171,69.8036724776943,75.5030683053513,79.5033738356974,79.880477786038,80.5779081541485,82.658896708444,79.5351647591471,83.391768024212,84.6834636757465,82.5377127008628,78.2654765043376
Norway,Exports of goods and services (% of GDP),44.9851535831821,40.4688823606507,39.6723098094631,41.11014734445,43.4420594110174,44.5373237369717,42.9575531295574,46.2181008986951,39.8101497225902,40.150329072743,41.6612661743411,41.2870648544023,39.8613095344032,39.7276720425482,38.5751887349717,35.9381714261875,36.7322649944946,38.2210272883516,36.640925320627,32.2103377797679
Singapore,Exports of goods and services (% of GDP),182.894180709771,184.086118066532,202.586206389804,213.951695442646,225.159667736916,228.037617061062,212.779393731371,228.993770935119,190.844935011128,197.998960793027,203.327708649538,196.719612875759,195.077796338143,191.953535787505,178.384608499682,164.672004632055,171.564619507331,177.350436934209,175.594437290153,181.988603078234
Sweden,Exports of goods and services (% of GDP),42.9207450800425,41.2470904455775,40.3257049709808,42.6906424082589,45.01548061554,47.4874330005625,47.6102603456699,49.0869229216005,43.4539788044118,44.6788529489048,45.2711911918356,45.027525416194,42.5268091342415,43.2661612480684,43.7667675162599,42.691478270481,43.734721932138,45.6830615126713,47.8092109523511,43.847302531012
Switzerland,Exports of goods and services (% of GDP),50.2026964781874,48.5596411646909,47.7207184344473,51.2999852986173,53.8541740314548,56.6091852245621,61.5528145502156,63.1293186926904,58.009669038461,64.8376280081055,66.4499236497689,67.7773730536667,72.0682136205549,65.3372701216929,63.8289557538988,66.817725925772,66.3484902889967,67.4781861031999,66.9653936798419,64.3070318760151
Turkey,Exports of goods and services (% of GDP),27.1819418753369,25.1051190164424,23.0061778959535,23.6247532110161,21.8762675597935,22.3948339423242,21.8895256942149,23.5662909262571,23.3701991459541,21.1941333155525,22.9937012536403,24.3608755208614,23.7930095050818,25.2055416974053,24.5312773389092,23.0835091311263,26.0394223439924,31.1528780813097,32.5272015787758,28.7331269769847
United Arab Emirates,Exports of goods and services (% of GDP),49.1592253276122,49.5033473840813,55.9231992151745,63.5677298138648,67.5853113898841,68.6277976715135,72.3840975003088,78.86788870154,79.6533178621862,82.2423856431629,90.0765642479735,97.6349633773452,98.0075860876661,96.9237967434986,97.5631880705978,97.6631210861556,98.342392206754,91.994776867123,96.6641687524381,95.9265985861602
United Kingdom,Exports of goods and services (% of GDP),25.5220579696732,24.4434186728661,23.9707067299105,23.979764549425,25.177277348581,27.4323635269891,25.41920258353,27.3085154480018,26.6292153656013,28.5596270360417,31.0926318838176,30.3745357483273,30.0492174139425,28.3899685800131,27.6303254870645,28.6504713020159,30.6724482591913,31.2349066704984,31.2576060558948,29.2371897151774
United States,Exports of goods and services (% of GDP),9.70344749898923,9.131381513844,9.03565868264667,9.62875008142275,9.98205473154167,10.641386468295,11.4637901622698,12.4258473646734,10.9322206193664,12.3413608086534,13.5634671535102,13.6440493967794,13.5780743740926,13.5459593384987,12.4609931641514,11.9395387321555,12.2617381180006,12.3609892157496,11.8724701148898,10.2021257426695
